Ranking,Company,Market Cap (USD),Stock,Country,Sector,Industry
49,"Netflix, Inc.",$207.75 B,"NFLX
                                        

wb_incandescent",United States,Communication Services,Entertainment
50,Thermo Fisher Scientific Inc.,$207.62 B,"TMO
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
51,"Cisco Systems, Inc.",$205.21 B,"CSCO
                                        

wb_incandescent",United States,Technology,Communication Equipment
52,Intel Corporation,$198.49 B,"INTC
                                        

wb_incandescent",United States,Technology,Semiconductors
53,Linde plc,$198.22 B,"LIN
                                        

wb_incandescent",United Kingdom,Basic Materials,Specialty Chemicals
54,Pinduoduo Inc.,$197.91 B,"PDD
                                        

wb_incandescent",China,Consumer Discretionary,Internet Retail
55,Abbott Laboratories,$192.67 B,"ABT
                                        

wb_incandescent",United States,Healthcare,Medical Devices
56,"T-Mobile US, Inc.",$187.70 B,"TMUS
                                        

wb_incandescent",United States,Communication Services,Telecom Services
57,China Mobile Ltd,$185.54 B,"0941
                                        

wb_incandescent",Hong Kong,Communication Services,Telecom Services
58,Alibaba Group Holding Limited,$184.03 B,"9988
                                        

wb_incandescent",China,Consumer Discretionary,Internet Retail
59,PetroChina Company Limited,$182.61 B,"601857
                                        

wb_incandescent",China,Energy,Oil & Gas Integrated
60,Wells Fargo & Company,$178.97 B,"WFC
                                        

wb_incandescent",United States,Financials,Banks—Diversified
61,Agricultural Bank of China Ltd,$178.47 B,"601288
                                        

wb_incandescent",China,Financials,Banks—Diversified
62,SAP SE,$175.44 B,"SAP
                                        

wb_incandescent",Germany,Technology,Software—Application
63,Comcast Corporation,$174.33 B,"CMCSA
                                        

wb_incandescent",United States,Communication Services,Entertainment
64,Danaher Corporation,$171.89 B,"DHR
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
65,BHP Group,$169.91 B,"BHP
                                        

wb_incandescent",Australia,Basic Materials,Other Industrial Metals & Mining
66,Pfizer Inc.,$167.87 B,"PFE
                                        

wb_incandescent",United States,Healthcare,Drug Manufacturers—General
67,The Walt Disney Company,$167.75 B,"DIS
                                        

wb_incandescent",United States,Communication Services,Entertainment
68,HDFC Bank Limited,$167.72 B,"HDB
                                        

wb_incandescent",India,Financials,Banks—Regional
69,Verizon Communications Inc.,$165.52 B,"VZ
                                        

wb_incandescent",United States,Communication Services,Telecom Services
70,Intuit Inc.,$165.41 B,"INTU
                                        

wb_incandescent",United States,Technology,Software—Application
71,Amgen Inc.,$162.25 B,"AMGN
                                        

wb_incandescent",United States,Healthcare,Drug Manufacturers—General
72,TotalEnergies SE,$161.47 B,"TTE
                                        

wb_incandescent",France,Energy,Oil & Gas Integrated
73,Prosus N.V.,$159.09 B,"PRX
                                        

wb_incandescent",Netherlands,Communication Services,Internet Content & Information
74,"Nike, Inc.",$158.34 B,"NKE
                                        

wb_incandescent",United States,Consumer Discretionary,Footwear & Accessories
75,HSBC Holdings plc,$155.80 B,"HSBA
                                        

wb_incandescent",United Kingdom,Financials,Banks—Diversified
76,Qualcomm Incorporated,$153.17 B,"QCOM
                                        

wb_incandescent",United States,Technology,Semiconductors
77,Bank of China Ltd,$151.64 B,"601988
                                        

wb_incandescent",China,Financials,Banks—Diversified
78,Texas Instruments Incorporated,$151.39 B,"TXN
                                        

wb_incandescent",United States,Technology,Semiconductors
79,Morgan Stanley,$151.25 B,"MS
                                        

wb_incandescent",United States,Financials,Capital Markets
80,China Construction Bank Corp,$150.20 B,"601939
                                        

wb_incandescent",China,Financials,Banks—Diversified
81,Philip Morris International Inc.,$148.50 B,"PM
                                        

wb_incandescent",United States,Consumer Staples,Tobacco
82,The Boeing Company,$148.18 B,"BA
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
83,The Blackstone Group Inc.,$147.99 B,"BX
                                        

wb_incandescent",United States,Financials,Asset Management
84,Union Pacific Corporation,$147.34 B,"UNP
                                        

wb_incandescent",United States,Industrials,Railroads
85,International Business Machines Corporation,$146.88 B,"IBM
                                        

wb_incandescent",United States,Technology,Information Technology Services
86,Caterpillar Inc.,$145.65 B,"CAT
                                        

wb_incandescent",United States,Industrials,Farm & Heavy Construction Machinery
87,ConocoPhillips,$142.41 B,"COP
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
88,Royal Bank of Canada,$142.03 B,"RY
                                        

wb_incandescent",Canada,Financials,Banks—Diversified
89,Christian Dior SE,$140.98 B,"CDI
                                        

wb_incandescent",France,Consumer Discretionary,Luxury Goods
90,Siemens AG,$138.51 B,"SIE
                                        

wb_incandescent",Germany,Industrials,Specialty Industrial Machinery
91,"ServiceNow, Inc.",$138.47 B,"NOW
                                        

wb_incandescent",United States,Technology,Software—Application
92,American Express Company,$136.38 B,"AXP
                                        

wb_incandescent",United States,Financials,Credit Services
93,S&P Global Inc.,$136.18 B,"SPGI
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
94,General Electric Company,$135.68 B,"GE
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
95,Honeywell International Inc.,$135.08 B,"HON
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
96,"United Parcel Service, Inc.",$134.21 B,"UPS
                                        

wb_incandescent",United States,Industrials,Integrated Freight & Logistics
97,Commonwealth Bank of Australia,$129.61 B,"CBA
                                        

wb_incandescent",Australia,Financials,Banks—Diversified
98,Anheuser-Busch InBev SA/NV,$129.00 B,"ABI
                                        

wb_incandescent",Belgium,Consumer Staples,Beverages—Brewers
99,"Industria de Diseño Textil, SA",$128.56 B,"ITX
                                        

wb_incandescent",Spain,Consumer Discretionary,Apparel Retail
100,Sanofi,$128.15 B,"SAN
                                        

wb_incandescent",France,Healthcare,Drug Manufacturers—General
101,"NextEra Energy, Inc.",$127.19 B,"NEE
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
102,"Applied Materials, Inc.",$125.87 B,"AMAT
                                        

wb_incandescent",United States,Technology,Semiconductor Equipment & Materials
103,"The Goldman Sachs Group, Inc.",$124.88 B,"GS
                                        

wb_incandescent",United States,Financials,Capital Markets
104,Deutsche Telekom AG,$123.30 B,"DTE
                                        

wb_incandescent",Germany,Communication Services,Telecom Services
105,AT&T Inc.,$123.19 B,"T
                                        

wb_incandescent",United States,Communication Services,Telecom Services
106,RTX Corporation,$123.10 B,"RTX
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
107,The Charles Schwab Corporation,$122.20 B,"SCHW
                                        

wb_incandescent",United States,Financials,Capital Markets
108,"Lowe's Companies, Inc.",$122.08 B,"LOW
                                        

wb_incandescent",United States,Consumer Discretionary,Home Improvement Retail
109,Unilever plc,$121.89 B,"ULVR
                                        

wb_incandescent",United Kingdom,Consumer Staples,Household & Personal Products
110,Airbus SE,$121.56 B,"AIR
                                        

wb_incandescent",Netherlands,Industrials,Aerospace & Defense
111,Rio Tinto Group,$120.67 B,"RIO
                                        

wb_incandescent",United Kingdom,Basic Materials,Other Industrial Metals & Mining
112,"Prologis, Inc.",$120.60 B,"PLD
                                        

wb_incandescent",United States,Real Estate,REIT—Industrial
113,"Uber Technologies, Inc.",$119.87 B,"UBER
                                        

wb_incandescent",United States,Technology,Software—Application
114,Booking Holdings Inc.,$119.32 B,"BKNG
                                        

wb_incandescent",United States,Consumer Discretionary,Travel Services
115,Sony Group Corporation,$117.80 B,"6758
                                        

wb_incandescent",Japan,Technology,Consumer Electronics
116,SinoCloud Group Ltd,"$117.42 B
                                            (May 1, 2023)","5EK
                                        

wb_incandescent",Hong Kong,Technology,Information Technology Services
117,"BlackRock, Inc.",$116.92 B,"BLK
                                        

wb_incandescent",United States,Financials,Asset Management
118,Toronto-Dominion Bank,$115.77 B,"TD
                                        

wb_incandescent",Canada,Financials,Banks—Diversified
119,"Elevance Health, Inc.",$113.92 B,"ELV
                                        

wb_incandescent",United States,Healthcare,Healthcare Plans
120,Lockheed Martin Corporation,$113.91 B,"LMT
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
121,"Intuitive Surgical, Inc.",$113.81 B,"ISRG
                                        

wb_incandescent",United States,Healthcare,Medical Instruments & Supplies
122,Stryker Corporation,$113.24 B,"SYK
                                        

wb_incandescent",United States,Healthcare,Medical Devices
123,Medtronic plc,$111.60 B,"MDT
                                        

wb_incandescent",Ireland,Healthcare,Medical Devices
124,Deere & Company,$110.24 B,"DE
                                        

wb_incandescent",United States,Industrials,Farm & Heavy Construction Machinery
125,Schneider Electric SE,$110.11 B,"SU
                                        

wb_incandescent",France,Industrials,Specialty Industrial Machinery
126,Vertex Pharmaceuticals Incorporated,$107.23 B,"VRTX
                                        

wb_incandescent",United States,Healthcare,Biotechnology
127,"Mitsubishi UFJ Financial Group, Inc.",$107.09 B,"8306
                                        

wb_incandescent",Japan,Financials,Banks—Diversified
128,Keyence Corp,$106.65 B,"6861
                                        

wb_incandescent",Japan,Technology,Scientific & Technical Instruments
129,Bristol-Myers Squibb Company,$106.42 B,"BMY
                                        

wb_incandescent",United States,Healthcare,Drug Manufacturers—General
130,Starbucks Corporation,$106.34 B,"SBUX
                                        

wb_incandescent",United States,Consumer Discretionary,Restaurants
131,Allianz SE,$106.15 B,"ALV
                                        

wb_incandescent",Germany,Financials,Insurance—Diversified
132,Petróleo Brasileiro S.A. - Petrobras,$106.03 B,"PBR
                                        

wb_incandescent",Brazil,Energy,Oil & Gas Integrated
133,"The TJX Companies, Inc.",$105.74 B,"TJX
                                        

wb_incandescent",United States,Consumer Discretionary,Apparel Retail
134,"Gilead Sciences, Inc.",$105.27 B,"GILD
                                        

wb_incandescent",United States,Healthcare,Drug Manufacturers—General
135,Nippon Telegraph & Telephone Corp,$105.21 B,"9432
                                        

wb_incandescent",Japan,Communication Services,Telecom Services
136,CVS Health Corporation,$104.08 B,"CVS
                                        

wb_incandescent",United States,Healthcare,Healthcare Plans
137,BP plc,$103.48 B,"BP.
                                        

wb_incandescent",United Kingdom,Energy,Oil & Gas Integrated
138,Citigroup Inc.,$102.91 B,"C
                                        

wb_incandescent",United States,Financials,Banks—Diversified
139,Open Joint Stock Company OMZ,"$101.93 B
                                            (July 1, 2023)","OMZZP
                                        

wb_incandescent",Russia,Industrials,Specialty Industrial Machinery
140,Air Liquide SA,$101.75 B,"AI
                                        

wb_incandescent",France,Basic Materials,Chemicals
141,American Tower Corporation (REIT),$100.44 B,"AMT
                                        

wb_incandescent",United States,Real Estate,REIT—Specialty
142,"Regeneron Pharmaceuticals, Inc.",$100.01 B,"REGN
                                        

wb_incandescent",United States,Healthcare,Biotechnology
143,"Mondelez International, Inc.",$99.73 B,"MDLZ
                                        

wb_incandescent",United States,Consumer Staples,Confectioners
144,China Merchants Bank Co Ltd,$98.57 B,"600036
                                        

wb_incandescent",China,Financials,Banks—Regional
145,Lam Research Corporation,$97.14 B,"LRCX
                                        

wb_incandescent",United States,Technology,Semiconductor Equipment & Materials
146,Equinor ASA,$97.10 B,"EQNR
                                        

wb_incandescent",Norway,Energy,Oil & Gas Integrated
147,Contemporary Amperex Technology Co. Ltd,$96.77 B,"300750
                                        

wb_incandescent",China,Industrials,Electrical Equipment & Parts
148,UBS Group AG,$96.76 B,"UBSG
                                        

wb_incandescent",Switzerland,Financials,Banks—Diversified
149,"Automatic Data Processing, Inc.",$96.11 B,"ADP
                                        

wb_incandescent",United States,Industrials,Staffing & Employment Services
150,The Progressive Corporation,$95.50 B,"PGR
                                        

wb_incandescent",United States,Financials,Insurance—Property & Casualty
151,AIA Group Ltd,$94.91 B,"1299
                                        

wb_incandescent",Hong Kong,Financials,Insurance—Life
152,CSL Limited,$94.74 B,"CSL
                                        

wb_incandescent",Australia,Healthcare,Biotechnology
153,"Marsh & McLennan Companies, Inc.",$94.42 B,"MMC
                                        

wb_incandescent",United States,Financials,Insurance Brokers
154,"Analog Devices, Inc.",$93.79 B,"ADI
                                        

wb_incandescent",United States,Technology,Semiconductors
155,Eaton Corporation plc,$93.63 B,"ETN
                                        

wb_incandescent",Ireland,Industrials,Specialty Industrial Machinery
156,Al Rajhi Banking and Investment Corp,$93.33 B,"1120
                                        

wb_incandescent",Saudi Arabia,Financials,Banks—Regional
157,Ping An Insurance (Group) Company of China Ltd,$92.95 B,"601318
                                        

wb_incandescent",China,Financials,Insurance—Life
158,Shopify Inc.,$92.77 B,"SHOP
                                        

wb_incandescent",Canada,Technology,Software—Application
159,Chubb Limited,$92.74 B,"CB
                                        

wb_incandescent",Switzerland,Financials,Insurance—Property & Casualty
160,China Life Insurance Company Limited,$92.27 B,"601628
                                        

wb_incandescent",China,Financials,Insurance—Life
161,"Micron Technology, Inc.",$91.30 B,"MU
                                        

wb_incandescent",United States,Technology,Semiconductors
162,EssilorLuxottica SA,$90.57 B,"EL
                                        

wb_incandescent",France,Healthcare,Medical Instruments & Supplies
163,"Palo Alto Networks, Inc.",$90.41 B,"PANW
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
164,Cigna Corporation,$89.61 B,"CI
                                        

wb_incandescent",United States,Healthcare,Healthcare Plans
165,Zoetis Inc.,$89.09 B,"ZTS
                                        

wb_incandescent",United States,Healthcare,Drug Manufacturers—Specialty & Generic
166,China Shenhua Energy Company Ltd,$88.67 B,"601088
                                        

wb_incandescent",China,Energy,Thermal Coal
167,China Petroleum & Chemical Corporation,$88.42 B,"600028
                                        

wb_incandescent",China,Energy,Oil & Gas Integrated
168,CNOOC Limited,$86.63 B,"0883
                                        

wb_incandescent",Hong Kong,Energy,Oil & Gas E&P
169,"Airbnb, Inc.",$85.47 B,"ABNB
                                        

wb_incandescent",United States,Communication Services,Internet Content & Information
170,Boston Scientific Corporation,$85.22 B,"BSX
                                        

wb_incandescent",United States,Healthcare,Medical Devices
171,Tokyo Electron Ltd,$83.64 B,"8035
                                        

wb_incandescent",Japan,Technology,Semiconductor Equipment & Materials
172,ICICI Bank Limited,$83.47 B,"IBN
                                        

wb_incandescent",India,Financials,Banks—Regional
173,Shin-Etsu Chemical Co Ltd,$82.56 B,"4063
                                        

wb_incandescent",Japan,Basic Materials,Chemicals
174,Canadian National Railway Company,$82.17 B,"CNR
                                        

wb_incandescent",Canada,Industrials,Railroads
175,China Yangtze Power Co. Ltd,$82.16 B,"600900
                                        

wb_incandescent",China,Utilities,Utilities—Independent Power Producers
176,"Iberdrola, SA",$81.95 B,"IBE
                                        

wb_incandescent",Spain,Utilities,Utilities—Diversified
177,Diageo plc,$81.33 B,"DGE
                                        

wb_incandescent",United Kingdom,Consumer Staples,Beverages—Wineries & Distilleries
178,GlaxoSmithKline plc,$80.74 B,"GSK
                                        

wb_incandescent",United Kingdom,Healthcare,Drug Manufacturers—General
179,Atlas Copco AB,$80.27 B,"ATCO.A
                                        

wb_incandescent",Sweden,Industrials,Specialty Industrial Machinery
180,BNP Paribas SA,$80.01 B,"BNP
                                        

wb_incandescent",France,Financials,Banks—Regional
181,ABB Ltd,$79.81 B,"ABBN
                                        

wb_incandescent",Switzerland,Industrials,Electrical Equipment & Parts
182,"Fiserv, Inc.",$79.73 B,"FI
                                        

wb_incandescent",United States,Technology,Information Technology Services
183,BYD Co Ltd,$78.61 B,"002594
                                        

wb_incandescent",China,Consumer Discretionary,Auto Manufacturers
184,"MercadoLibre, Inc.",$78.42 B,"MELI
                                        

wb_incandescent",Argentina,Consumer Discretionary,Internet Retail
185,Enbridge Inc.,$78.29 B,"ENB
                                        

wb_incandescent",Canada,Energy,Oil & Gas Midstream
186,The Southern Company,$78.21 B,"SO
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
187,Illinois Tool Works Inc.,$78.04 B,"ITW
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
188,Fast Retailing Co. Ltd,$76.56 B,"9983
                                        

wb_incandescent",Japan,Consumer Discretionary,Apparel Retail
189,PT Bank Central Asia Tbk,$76.50 B,"BBCA
                                        

wb_incandescent",Indonesia,Financials,Banks—Regional
190,Zurich Insurance Group AG,$76.29 B,"ZURN
                                        

wb_incandescent",Switzerland,Financials,Insurance—Diversified
191,Duke Energy Corporation,$76.13 B,"DUK
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
192,The Sherwin-Williams Company,$75.71 B,"SHW
                                        

wb_incandescent",United States,Basic Materials,Specialty Chemicals
193,Enel SpA,$75.50 B,"ENEL
                                        

wb_incandescent",Italy,Utilities,Utilities—Diversified
194,"SK hynix, Inc.",$75.21 B,"000660
                                        

wb_incandescent",South Korea,Technology,Semiconductors
195,Schlumberger Limited,$75.21 B,"SLB
                                        

wb_incandescent",United States,Energy,Oil & Gas Equipment & Services
196,KLA Corporation,$75.13 B,"KLAC
                                        

wb_incandescent",United States,Technology,Semiconductor Equipment & Materials
197,Infosys Limited,$74.79 B,"INFY
                                        

wb_incandescent",India,Technology,Information Technology Services
198,"Equinix, Inc. (REIT)",$74.75 B,"EQIX
                                        

wb_incandescent",United States,Real Estate,REIT—Specialty
199,RELX plc,$74.71 B,"REL
                                        

wb_incandescent",United Kingdom,Communication Services,Publishing
200,"Synopsys, Inc.",$74.64 B,"SNPS
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
201,Canadian Pacific Railway Limited,$74.55 B,"CP
                                        

wb_incandescent",Canada,Industrials,Railroads
202,AXA SA,$74.38 B,"CS
                                        

wb_incandescent",France,Financials,Insurance—Diversified
203,Canadian Natural Resources Limited,$74.04 B,"CNQ
                                        

wb_incandescent",Canada,Energy,Oil & Gas E&P
204,"Altria Group, Inc.",$73.43 B,"MO
                                        

wb_incandescent",United States,Consumer Staples,Tobacco
205,Glencore plc,$73.42 B,"GLEN
                                        

wb_incandescent",Switzerland,Basic Materials,Other Industrial Metals & Mining
206,Marinomed Biotech AG,$73.23 B,"MBG
                                        

wb_incandescent",Austria,Healthcare,Biotechnology
207,Mercedes-Benz Group AG,$73.23 B,"MBG
                                        

wb_incandescent",Germany,Consumer Discretionary,Auto Manufacturers
208,"HCA Healthcare, Inc.",$73.10 B,"HCA
                                        

wb_incandescent",United States,Healthcare,Medical Care Facilities
209,Bayerische Motoren Werke AG,$73.09 B,"BMW
                                        

wb_incandescent",Germany,Consumer Discretionary,Auto Manufacturers
210,CME Group Inc.,$72.98 B,"CME
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
211,"EOG Resources, Inc.",$72.88 B,"EOG
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
212,Safran SA,$72.49 B,"SAF
                                        

wb_incandescent",France,Industrials,Aerospace & Defense
213,"América Móvil, S.A.B. de C.V.","$72.38 B
                                            (May 1, 2023)","AMXA
                                        

wb_incandescent",Mexico,Communication Services,Telecom Services
214,Vinci SA,$72.19 B,"DG
                                        

wb_incandescent",France,Industrials,Engineering & Construction
215,"Waste Management, Inc.",$72.01 B,"WM
                                        

wb_incandescent",United States,Industrials,Waste Management
216,Wal-Mart de Mexico SAB de CV,$71.99 B,"WALMEX
                                        

wb_incandescent",Mexico,Consumer Staples,Discount Stores
217,"Intercontinental Exchange, Inc.",$71.90 B,"ICE
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
218,"Arista Networks, Inc.",$71.73 B,"ANET
                                        

wb_incandescent",United States,Technology,Computer Hardware
219,Northrop Grumman Corporation,$71.61 B,"NOC
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
220,KKR & Co. Inc.,$71.02 B,"KKR
                                        

wb_incandescent",United States,Financials,Asset Management
221,"Activision Blizzard, Inc.","$70.75 B
                                            (July 1, 2023)","ATVI
                                        

wb_incandescent",United States,Communication Services,Electronic Gaming & Multimedia
222,"Workday, Inc.",$70.57 B,"WDAY
                                        

wb_incandescent",United States,Technology,Software—Application
223,Bank of Montreal,$70.52 B,"BMO
                                        

wb_incandescent",Canada,Financials,Banks—Diversified
224,"Becton, Dickinson and Company",$70.33 B,"BDX
                                        

wb_incandescent",United States,Healthcare,Medical Instruments & Supplies
225,General Dynamics Corporation,$70.01 B,"GD
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
226,"Cadence Design Systems, Inc.",$69.99 B,"CDNS
                                        

wb_incandescent",United States,Technology,Software—Application
227,Stellantis N.V.,$69.87 B,"STLAP
                                        

wb_incandescent",Netherlands,Consumer Discretionary,Auto Manufacturers
228,Mitsubishi Corp,$69.54 B,"8058
                                        

wb_incandescent",Japan,Industrials,Conglomerates
229,Moody's Corporation,$68.67 B,"MCO
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
230,CSX Corporation,$68.61 B,"CSX
                                        

wb_incandescent",United States,Industrials,Railroads
231,KDDI Corp,$68.57 B,"9433
                                        

wb_incandescent",Japan,Communication Services,Telecom Services
232,"Conversion Labs, Inc.",$67.85 B,"CVLB
                                        

wb_incandescent",United States,Healthcare,Pharmaceutical Retailers
233,The Saudi National Bank,$67.76 B,"1180
                                        

wb_incandescent",Saudi Arabia,Financials,Banks—Regional
234,"Banco Santander, SA",$67.65 B,"SAN
                                        

wb_incandescent",Spain,Financials,Banks—Diversified
235,MERCK Kommanditgesellschaft auf Aktien,$67.64 B,"MRK
                                        

wb_incandescent",Germany,Healthcare,Drug Manufacturers—Specialty & Generic
236,"Sumitomo Mitsui Financial Group, Inc.",$67.44 B,"8316
                                        

wb_incandescent",Japan,Financials,Banks—Diversified
237,Hitachi Ltd,$67.34 B,"6501
                                        

wb_incandescent",Japan,Industrials,Conglomerates
238,U.S. Bancorp,$67.28 B,"USB
                                        

wb_incandescent",United States,Financials,Banks—Regional
239,British American Tobacco plc,$67.19 B,"BATS
                                        

wb_incandescent",United Kingdom,Consumer Staples,Tobacco
240,Vale SA,$67.02 B,"VALE3
                                        

wb_incandescent",Brazil,Basic Materials,Other Industrial Metals & Mining
241,Thomson Reuters Corporation,$66.19 B,"TRI
                                        

wb_incandescent",Canada,Industrials,Consulting Services
242,Recruit Holdings Co Ltd,$66.18 B,"6098
                                        

wb_incandescent",Japan,Industrials,Staffing & Employment Services
243,Colgate-Palmolive Company,$66.15 B,"CL
                                        

wb_incandescent",United States,Consumer Staples,Household & Personal Products
244,SoftBank Group Corp.,$66.10 B,"9984
                                        

wb_incandescent",Japan,Communication Services,Telecom Services
245,Siemens Healthineers AG,$66.05 B,"SHL
                                        

wb_incandescent",Germany,Healthcare,Diagnostics & Research
